# time flux err_flux
1.327453589224566258e+03 8.455835937500000000e+03 1.132985019683837891e+01
1.327454978125877233e+03 8.436171875000000000e+03 1.133348655700683594e+01
1.327456367027189799e+03 8.432500000000000000e+03 1.132772827148437500e+01
1.327457755928559664e+03 8.433833984375000000e+03 1.132844352722167969e+01
1.327459144829870866e+03 8.427839843750000000e+03 1.132220935821533203e+01
1.327460533731183432e+03 8.420635742187500000e+03 1.132092571258544922e+01
1.327461922632495089e+03 8.417766601562500000e+03 1.131579494476318359e+01
1.327463311533806746e+03 8.416565429687500000e+03 1.131787109375000000e+01
1.327464700435119312e+03 8.425538085937500000e+03 1.132073593139648438e+01
1.327466089336431196e+03 8.421048828125000000e+03 1.131578159332275391e+01
1.327467478237801288e+03 8.405425781250000000e+03 1.131748390197753906e+01
1.327468867139112945e+03 8.414546875000000000e+03 1.131710052490234375e+01
1.327470256040424601e+03 8.391625000000000000e+03 1.130754470825195312e+01
1.327471644941736486e+03 8.426858398437500000e+03 1.132541275024414062e+01
1.327473033843048370e+03 8.411089843750000000e+03 1.131218528747558594e+01
1.327474422744360027e+03 8.420148437500000000e+03 1.132359218597412109e+01
1.327475811645671911e+03 8.409998046875000000e+03 1.132190036773681641e+01
1.327477200546983795e+03 8.402319335937500000e+03 1.131739234924316406e+01
1.327478589448295452e+03 8.425989257812500000e+03 1.133069515228271484e+01
1.327479978349608018e+03 8.420733398437500000e+03 1.131635570526123047e+01
1.327481367250977883e+03 8.420425781250000000e+03 1.131659984588623047e+01
1.327482756152289085e+03 8.412527343750000000e+03 1.131810951232910156e+01
1.327484145053601651e+03 8.410033203125000000e+03 1.131415557861328125e+01
1.327485533954913308e+03 8.406791015625000000e+03 1.131423282623291016e+01
1.327486922856224510e+03 8.413304687500000000e+03 1.131949901580810547e+01
1.327488311757536849e+03 8.409903320312500000e+03 1.131982898712158203e+01
1.327489700658848733e+03 8.403114257812500000e+03 1.130925178527832031e+01
1.327491089560159708e+03 8.405934570312500000e+03 1.131479835510253906e+01
1.327492478461472047e+03 8.404215820312500000e+03 1.131609916687011719e+01
1.327493867362784613e+03 8.433909179687500000e+03 1.133366298675537109e+01
1.327495256264095815e+03 8.408467773437500000e+03 1.131696510314941406e+01
1.327496645165407472e+03 8.411407226562500000e+03 1.132269191741943359e+01
1.327498034066720038e+03 8.410625976562500000e+03 1.131870269775390625e+01
1.327499422968031240e+03 8.398556640625000000e+03 1.131289958953857422e+01
1.327500811869342897e+03 8.396944335937500000e+03 1.131711101531982422e+01
1.327502200770655463e+03 8.399518554687500000e+03 1.131319618225097656e+01
1.327503589671967120e+03 8.400747070312500000e+03 1.132015228271484375e+01
1.327504978573278777e+03 8.401560546875000000e+03 1.132126998901367188e+01
1.327506367474590661e+03 8.427795898437500000e+03 1.133013534545898438e+01
1.327507756375844338e+03 8.394183593750000000e+03 1.132022953033447266e+01
1.327509145277155994e+03 8.406823242187500000e+03 1.131978321075439453e+01
1.327510534178467879e+03 8.418635742187500000e+03 1.132418060302734375e+01
1.327511923079780217e+03 8.380024414062500000e+03 1.131451034545898438e+01
1.327513311981092102e+03 8.386117187500000000e+03 1.131114292144775391e+01
1.327514700882403076e+03 8.408690429687500000e+03 1.132204818725585938e+01
1.327516089783715643e+03 8.411040039062500000e+03 1.132377433776855469e+01
1.327517478685027299e+03 8.384723632812500000e+03 1.131306362152099609e+01
1.327518867586338501e+03 8.422508789062500000e+03 1.134181308746337891e+01
1.327520256487651068e+03 8.406436523437500000e+03 1.132036113739013672e+01
1.327521645388904517e+03 8.388888671875000000e+03 1.131652927398681641e+01
1.327523034290215719e+03 8.410289062500000000e+03 1.132759952545166016e+01
1.327524423191528285e+03 8.411899414062500000e+03 1.133007812500000000e+01
1.327525812092840624e+03 8.411935546875000000e+03 1.134434700012207031e+01
1.327527200994151599e+03 8.410346679687500000e+03 1.132905578613281250e+01
1.327528589895463483e+03 8.401746093750000000e+03 1.132576560974121094e+01
1.327529978796775822e+03 8.388562500000000000e+03 1.132742118835449219e+01
1.327531367698028816e+03 8.396426757812500000e+03 1.132397365570068359e+01
1.327532756599340473e+03 8.435511718750000000e+03 1.134772396087646484e+01
1.327534145500653040e+03 8.409406250000000000e+03 1.133931255340576172e+01
1.327535534401964242e+03 8.402065429687500000e+03 1.133146572113037109e+01
1.327536923303275898e+03 8.394338867187500000e+03 1.132888507843017578e+01
1.327538312204530257e+03 8.421100585937500000e+03 1.134075355529785156e+01
1.327539701105842823e+03 8.396511718750000000e+03 1.133511829376220703e+01
1.327541090007154480e+03 8.402665039062500000e+03 1.133283519744873047e+01
1.327542478908465682e+03 8.398137695312500000e+03 1.133048534393310547e+01
1.327543867809778249e+03 8.395586914062500000e+03 1.133098030090332031e+01
1.327545256711031698e+03 8.398057617187500000e+03 1.133204364776611328e+01
1.327546645612342900e+03 8.419016601562500000e+03 1.134215927124023438e+01
1.327548034513655239e+03 8.394920898437500000e+03 1.133238029479980469e+01
1.327549423414908915e+03 8.386770507812500000e+03 1.132563591003417969e+01
1.327550812316219890e+03 8.397994140625000000e+03 1.134012508392333984e+01
1.327552201217532229e+03 8.424695312500000000e+03 1.134648704528808594e+01
1.327553590118844113e+03 8.392924804687500000e+03 1.134074306488037109e+01
